MS3_id	target_id	cmpd_id	cmpd_name	status	smiles	ro5_pass	mddr.like
MS3_00003	Q13838	DB02325	Isopropyl Alcohol	approved	CC(C)O	1	0
MS3_00007	P26196	DB01694	D-tartaric acid	experimental	O[C@@H]([C@@H](O)C(O)=O)C(O)=O	1	0
MS3_00009	Q13936	DB01373	Calcium	approved	[Ca]	1	0
MS3_00009	Q13936	DB00401	Nisoldipine	approved	COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C	1	0
MS3_00009	Q13936	DB00270	Isradipine	approved	COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C	1	1
MS3_00009	Q13936	DB06751	Drotaverine	approved	CCOC1=C(OCC)C=C(\C=C2/NCCC3=CC(OCC)=C(OCC)C=C23)C=C1	1	1
MS3_00009	Q13936	DB01388	Mibefradil	investigational	COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=CC=CC=C3N2)CCC2=C(C=CC(F)=C2)[C@@H]1C(C)C	0	1
MS3_00009	Q13936	DB00568	Cinnarizine	approved	C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1	0	1
MS3_00009	Q13936	DB00622	Nicardipine	approved	COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1	1	1
MS3_00009	Q13936	DB00653	Magnesium Sulfate	approved	[Mg++].[O-]S([O-])(=O)=O	1	0
MS3_00009	Q13936	DB00661	Verapamil	approved	COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1	0	0
MS3_00009	Q13936	DB00898	Ethanol	approved	CCO	1	0
MS3_00009	Q13936	DB00308	Ibutilide	approved	CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1	1	0
MS3_00009	Q13936	DB00421	Spironolactone	approved	[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O	1	0
