ipro_id	ipro_descr
IPR006677	tRNA intron endonuclease, catalytic domain-like
IPR001650	Helicase, C-terminal
IPR011545	DEAD/DEAH box helicase domain
IPR000322	Glycoside hydrolase family 31
IPR000519	P-type trefoil domain
IPR031727	Galactose mutarotase, N-terminal barrel
IPR021917	Uncharacterised protein family, zinc metallopeptidase-like
IPR005037	Pre-mRNA-splicing factor 38
IPR012541	DBP10, C-terminal
IPR005821	Ion transport domain
IPR006597	Sel1-like repeat
IPR007245	GPI transamidase component PIG-T
IPR028131	Vasohibin
IPR018997	PUB domain
IPR001715	Calponin homology domain
IPR023562	Clp protease proteolytic subunit /Translocation-enhancing protein TepA
IPR022764	Peptidase S54, rhomboid domain
IPR025258	Putative zinc-RING and/or ribbon
IPR001943	UVR domain
IPR004299	Membrane bound O-acyl transferase, MBOAT
IPR001799	Ephrin receptor-binding domain
IPR001680	WD40 repeat
IPR013258	Striatin, N-terminal
IPR000421	Coagulation factor 5/8 C-terminal domain
IPR019168	Nuclear envelope phosphatase-regulatory subunit 1
IPR022775	AP complex, mu/sigma subunit
IPR014873	Voltage-dependent calcium channel, alpha-1 subunit, IQ domain
IPR031649	Voltage-dependent L-type calcium channel, IQ-associated domain
IPR001278	Arginine-tRNA ligase
IPR005148	Arginyl tRNA synthetase N-terminal domain
IPR008909	DALR anticodon binding
IPR001611	Leucine-rich repeat
IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit
IPR023410	14-3-3 domain
IPR003388	Reticulon
IPR019465	Conserved oligomeric Golgi complex subunit 5
IPR000591	DEP domain
IPR001158	DIX domain
IPR001478	PDZ domain
IPR003351	Dishevelled protein domain
IPR019410	Lysine methyltransferase
IPR013099	Potassium channel domain
IPR000595	Cyclic nucleotide-binding domain
IPR005062	SAC3/GANP/THP3
IPR022786	Geminin/Multicilin
IPR001373	Cullin, N-terminal
IPR014786	Anaphase-promoting complex subunit 2, C-terminal
IPR022783	GC-rich sequence DNA-binding factor domain
IPR019831	Manganese/iron superoxide dismutase, N-terminal
IPR019832	Manganese/iron superoxide dismutase, C-terminal
IPR000504	RNA recognition motif domain
IPR000719	Protein kinase domain
IPR003697	Maf-like protein
IPR002129	Pyridoxal phosphate-dependent decarboxylase
IPR004147	UbiB domain
IPR013098	Immunoglobulin I-set
IPR001164	Arf GTPase activating protein
IPR003511	HORMA domain
IPR001895	Ras guanine-nucleotide exchange factors catalytic domain
IPR000717	Proteasome component (PCI) domain
IPR027859	Domain of unknown function DUF4457
IPR000008	C2 domain
IPR003034	SAP domain
IPR025954	DBC1/CARP1 catalytically inactive NUDIX hydrolase domain
IPR011644	Heme-NO binding
IPR001849	Pleckstrin homology domain
IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase
IPR005946	Ribose-phosphate diphosphokinase
IPR029099	Ribose-phosphate pyrophosphokinase, N-terminal domain
IPR005135	Endonuclease/exonuclease/phosphatase
IPR026822	Spp2/MOS2, G-patch domain
IPR001330	PFTB repeat
IPR000904	Sec7 domain
IPR002738	RNase P subunit p30
IPR001258	NHL repeat
IPR002931	Transglutaminase-like
IPR011701	Major facilitator superfamily
IPR002223	Pancreatic trypsin inhibitor Kunitz domain
IPR000195	Rab-GTPase-TBC domain
IPR004182	GRAM domain
IPR024761	Transcription factor IIIC, 90kDa subunit, N-terminal
IPR019357	Predicted coiled-coil protein (DUF2205)
IPR006612	Zinc finger, C2CH-type
IPR006020	PTB/PI domain
IPR003781	CoA-binding
IPR005811	ATP-citrate lyase/succinyl-CoA ligase
IPR007225	Exocyst complex component EXOC6/Sec15
IPR020189	Translation elongation factor, IF5A C-terminal
IPR010795	Prenylcysteine lyase
IPR032151	Cilia- and flagella-associated protein 61, N-terminal domain
IPR002126	Cadherin
IPR003788	Protein arginine methyltransferase NDUFAF7
IPR000331	Rap GTPase activating protein domain
IPR002125	Cytidine and deoxycytidylate deaminase domain
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR000692	Fibrillarin
IPR002073	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain
IPR007863	Peptidase M16, C-terminal
IPR011765	Peptidase M16, N-terminal
IPR032632	Peptidase M16, middle/third domain
IPR001356	Homeobox domain
IPR031701	Homeobox protein SIX1, N-terminal SD domain
IPR001126	UmuC domain
IPR002088	Protein prenyltransferase, alpha subunit
IPR017961	DNA polymerase, Y-family, little finger domain
IPR024728	DNA polymerase type-Y, HhH motif
IPR001841	Zinc finger, RING-type
IPR003137	PA domain
IPR008753	Peptidase M13, N-terminal domain
IPR001163	LSM domain, eukaryotic/archaea-type
IPR002048	EF-hand domain
IPR000897	Signal recognition particle, SRP54 subunit, GTPase domain
IPR004125	Signal recognition particle, SRP54 subunit, M-domain
IPR001533	Transcriptional coactivator/pterin dehydratase
IPR027911	Domain of unknown function DUF4604
IPR001806	Small GTPase superfamily
IPR000209	Peptidase S8/S53 domain
IPR022229	Peptidase S8A, tripeptidyl peptidase II
IPR004142	NDRG
IPR000756	Diacylglycerol kinase, accessory domain
IPR001206	Diacylglycerol kinase, catalytic domain
IPR007304	TAP42-like protein
IPR012959	CPL domain
IPR001372	Dynein light chain, type 1/2
IPR001991	Sodium:dicarboxylate symporter
IPR001606	ARID DNA-binding domain
IPR032321	Centrosomal protein of 290kDa, coiled-coil region
IPR001628	Zinc finger, nuclear hormone receptor-type
IPR025481	Cell morphogenesis protein C-terminal
IPR025614	Cell morphogenesis protein N-terminal
IPR029473	Cell morphogenesis central region
IPR018034	KRR1 interacting protein 1
IPR024626	Kri1-like, C-terminal
IPR006652	Kelch repeat type 1
IPR032425	Talin, N-terminal F0 domain
IPR020683	Ankyrin repeat-containing domain
IPR003877	SPRY domain
IPR000818	TEA/ATTS domain
IPR000210	BTB/POZ domain
IPR011705	BTB/Kelch-associated
IPR000276	G protein-coupled receptor, rhodopsin-like
IPR001320	Ionotropic glutamate receptor
IPR001828	Receptor, ligand binding region
IPR019594	Ionotropic glutamate receptor, L-glutamate and glycine-binding domain
IPR019331	FAM192A/Fyv6, N-terminal
IPR003495	CobW/HypB/UreG, nucleotide-binding domain
IPR002778	Signal recognition particle, SRP19 subunit
IPR006680	Amidohydrolase-related
IPR010703	Dedicator of cytokinesis, C-terminal
IPR027007	DHR-1 domain
IPR003018	GAF domain
IPR007484	Peptidase M28
IPR000885	Fibrillar collagen, C-terminal
IPR008160	Collagen triple helix repeat
IPR004000	Actin family
IPR002528	Multi antimicrobial extrusion protein
IPR001577	Peptidase M8, leishmanolysin
IPR027791	Galactosyltransferase, C-terminal
IPR027995	Galactosyltransferase, N-terminal
IPR000742	EGF-like domain
IPR013032	EGF-like, conserved site
IPR021757	Ribosomal protein L46
IPR000253	Forkhead-associated (FHA) domain
IPR003117	cAMP-dependent protein kinase regulatory subunit, dimerization-anchoring domain
IPR004274	FCP1 homology domain
IPR002903	Ribosomal RNA small subunit methyltransferase H
IPR023210	NADP-dependent oxidoreductase domain
IPR001377	Ribosomal protein S6e
IPR000307	Ribosomal protein S16
IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain
IPR001263	Phosphoinositide 3-kinase, accessory (PIK) domain
IPR007940	SH3-binding 5
IPR001433	Oxidoreductase FAD/NAD(P)-binding
IPR008333	Oxidoreductase, FAD-binding domain
IPR010876	NICE-3 predicted
IPR005024	Snf7 family
IPR029344	Histone RNA hairpin-binding protein, RNA-binding domain
IPR001060	FCH domain
IPR018808	Muniscin C-terminal
IPR013096	Cupin 2, conserved barrel
IPR018477	Bicaudal-D protein, microtubule-associated
IPR001368	TNFR/NGFR cysteine-rich region
IPR022812	Dynamin superfamily
IPR000198	Rho GTPase-activating protein domain
IPR001452	SH3 domain
IPR029190	Ribosomal RNA-processing protein 14/surfeit locus protein 6, C-terminal domain
IPR000608	Ubiquitin-conjugating enzyme E2
IPR007502	Helicase-associated domain
IPR011709	Domain of unknown function DUF1605
IPR004839	Aminotransferase, class I/classII
IPR001926	Tryptophan synthase beta subunit-like PLP-dependent enzyme
IPR001300	Peptidase C2, calpain, catalytic domain
IPR022682	Peptidase C2, calpain, large subunit, domain III
IPR000594	THIF-type NAD/FAD binding fold
IPR031968	VASt domain
IPR025254	Domain of unknown function DUF4201
IPR004895	Prenylated rab acceptor PRA1
IPR006555	ATP-dependent helicase, C-terminal
IPR003107	HAT (Half-A-TPR) repeat
IPR002017	Spectrin repeat
IPR000980	SH2 domain
IPR000626	Ubiquitin domain
IPR001303	Class II aldolase/adducin N-terminal
IPR000884	Thrombospondin type-1 (TSP1) repeat
IPR000536	Nuclear hormone receptor, ligand-binding domain
IPR004127	Prefoldin alpha-like
IPR008580	PPPDE putative peptidase domain
IPR029147	Domain of unknown function DUF4483
IPR018484	Carbohydrate kinase, FGGY, N-terminal
IPR018485	Carbohydrate kinase, FGGY, C-terminal
IPR000089	Biotin/lipoyl attachment
IPR001078	2-oxoacid dehydrogenase acyltransferase, catalytic domain
IPR002553	Clathrin/coatomer adaptor, adaptin-like, N-terminal
IPR011710	Coatomer beta subunit, C-terminal
IPR029446	Coatomer beta subunit, appendage platform domain
IPR001365	Adenosine/AMP deaminase domain
IPR002641	Patatin-like phospholipase domain
IPR013766	Thioredoxin domain
IPR019370	E2F-associated phosphoprotein
IPR027999	Death-like domain of Spt6
IPR028083	Spt6 acidic, N-terminal domain
IPR028231	Transcription elongation factor Spt6, YqgF domain
IPR032706	Transcription elongation factor Spt6, helix-hairpin-helix motif
IPR023631	Amidase signature domain
IPR004273	Dynein heavy chain domain
IPR013594	Dynein heavy chain, domain-1
IPR013602	Dynein heavy chain, domain-2
IPR024317	Dynein heavy chain, P-loop containing D4 domain
IPR024743	Dynein heavy chain, coiled coil stalk
IPR013106	Immunoglobulin V-set domain
IPR013162	CD80-like, immunoglobulin C2-set
IPR002305	Aminoacyl-tRNA synthetase, class Ic
IPR002293	Amino acid/polyamine transporter I
IPR029485	Cationic amino acid transporter, C-terminal
IPR028233	Cilia BBSome complex subunit 10
IPR007233	Trafficking protein particle complex subunit
IPR001950	SUI1 domain
IPR002871	NIF system FeS cluster assembly, NifU, N-terminal
IPR004148	BAR domain
IPR022666	Ribosomal Proteins L2, RNA binding domain
IPR022669	Ribosomal protein L2, C-terminal
IPR007858	Dpy-30 motif
IPR018834	DNA/RNA-binding domain, Est1-type
IPR019458	Telomerase activating protein Est1
IPR005455	Profilin
IPR003439	ABC transporter-like
IPR004088	K Homology domain, type 1
IPR003958	Transcription factor CBF/NF-Y/archaeal histone domain
IPR000327	POU-specific domain
IPR012981	PIH1 domain
IPR003323	OTU domain
IPR005475	Transketolase-like, pyrimidine-binding domain
IPR033248	Transketolase, C-terminal domain
IPR006076	FAD dependent oxidoreductase
IPR008758	Peptidase S28
IPR010280	(Uracil-5)-methyltransferase family
IPR004821	Cytidyltransferase-like domain
IPR001537	tRNA/rRNA methyltransferase, SpoU type
IPR013123	RNA 2-O ribose methyltransferase, substrate binding
IPR006925	Vps16, C-terminal
IPR006926	Vps16, N-terminal
IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
IPR019321	Nucleoporin Nup88
IPR012921	Spen paralogue and orthologue SPOC, C-terminal
IPR013164	Cadherin, N-terminal
IPR001233	tRNA-splicing ligase, RtcB
IPR019734	Tetratricopeptide repeat
IPR011128	Glycerol-3-phosphate dehydrogenase, NAD-dependent, N-terminal
IPR002404	IRS-type PTB domain
IPR004344	Tubulin-tyrosine ligase/Tubulin polyglutamylase
IPR003961	Fibronectin type III
IPR014782	Peptidase M1, membrane alanine aminopeptidase, N-terminal
IPR015211	Peptidase M1, leukotriene A4 hydrolase/aminopeptidase C-terminal
IPR001737	Ribosomal RNA adenine methyltransferase KsgA/Erm
IPR001892	Ribosomal protein S13
IPR001780	Ribosomal protein L35A
IPR000933	Glycoside hydrolase, family 29
IPR001107	Band 7 domain
IPR019008	Domain of unknown function DUF2012
IPR008145	Guanylate kinase/L-type calcium channel beta subunit
IPR018108	Mitochondrial substrate/solute carrier
IPR003953	FAD-dependent oxidoreductase 2, FAD binding domain
IPR015939	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal
IPR001313	Pumilio RNA-binding repeat
IPR004823	TATA box binding protein associated factor (TAF)
IPR011442	TAF6, C-terminal HEAT repeat domain
IPR001791	Laminin G domain
IPR002049	Laminin EGF domain
IPR002350	Kazal domain
IPR001766	Fork head domain
IPR002678	GTP cyclohydrolase 1 type 2/Nif3
IPR013520	Exonuclease, RNase T/DNA polymerase III
IPR000668	Peptidase C1A, papain C-terminal
IPR000873	AMP-dependent synthetase/ligase
IPR010506	DMAP1-binding domain
IPR013201	Cathepsin propeptide inhibitor domain (I29)
IPR018998	Endoribonuclease XendoU
IPR024329	Amyloidogenic glycoprotein, E2 domain
IPR014720	Double-stranded RNA-binding domain
IPR005312	Protein of unknown function DUF1759
IPR000715	Glycosyl transferase, family 4
IPR011576	Pyridoxamine 5'-phosphate oxidase, putative
IPR019576	Pyridoxine 5'-phosphate oxidase, dimerisation, C-terminal
IPR000494	Receptor L-domain
IPR006211	Furin-like cysteine-rich domain
IPR001487	Bromodomain
IPR022591	Transcription initiation factor TFIID subunit 1, domain of unknown function
IPR000845	Nucleoside phosphorylase domain
IPR003265	HhH-GPD domain
IPR012904	8-oxoguanine DNA glycosylase, N-terminal
IPR001357	BRCT domain
IPR002706	DNA-repair protein Xrcc1, N-terminal
IPR003164	Clathrin adaptor, alpha-adaptin, appendage, C-terminal subdomain
IPR008152	Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain
IPR004367	Cyclin, C-terminal domain
IPR006671	Cyclin, N-terminal
IPR000219	Dbl homology (DH) domain
IPR004092	Mbt repeat
IPR021987	SLED domain
IPR003689	Zinc/iron permease
IPR022238	Uncharacterised protein family, methyltransferase, Williams-Beuren syndrome
IPR015172	MIF4G-like, type 1
IPR015174	MIF4G-like, type 2
IPR013809	ENTH  domain
IPR006016	UspA
IPR001024	PLAT/LH2 domain
IPR001194	DENN domain
IPR004012	RUN domain
IPR005112	dDENN domain
IPR005113	uDENN domain
IPR011935	Conserved hypothetical protein CHP02231
IPR025554	Domain of unknown function DUF4140
IPR021134	Bestrophin/UPF0187
IPR000906	ZU5 domain
IPR002110	Ankyrin repeat
IPR000326	Phosphatidic acid phosphatase type 2/haloperoxidase
IPR002259	Equilibrative nucleoside transporter
IPR000892	Ribosomal protein S26e
IPR003386	Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase
IPR009262	Solute carrier family 35 member SLC35F1/F2/F6
IPR015021	Domain of unknown function DUF1907
IPR013151	Immunoglobulin
IPR019427	7TM GPCR, serpentine receptor class w (Srw)
IPR007188	Actin-related protein 2/3 complex subunit 2
IPR001375	Peptidase S9, prolyl oligopeptidase, catalytic domain
IPR002469	Dipeptidylpeptidase IV, N-terminal domain
IPR002076	ELO family
IPR004277	Phosphatidyl serine synthase
IPR000915	60S ribosomal protein L6E
IPR011538	NADH-ubiquinone oxidoreductase 51kDa subunit, FMN-binding domain
IPR019554	Soluble ligand binding domain
IPR019575	NADH-ubiquinone oxidoreductase 51kDa subunit, iron-sulphur binding domain
IPR026966	Neurofascin/L1/NrCAM, C-terminal domain
IPR005804	Fatty acid desaturase domain
IPR019012	RNA cap guanine-N2 methyltransferase
IPR007681	Ran-interacting Mog1 protein
