chembl_id	link_name	link
CHEMBL355212	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL172390	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162838	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL54469	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL168412	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162836	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162837	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162834	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL353497	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL169739	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL169658	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162839	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL355502	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162835	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162833	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL354778	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL355212	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL172390	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL54469	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL168412	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162836	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162834	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL353497	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL169739	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL169658	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162839	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162835	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162833	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL354778	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162838	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162837	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL355502	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL355212	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL172390	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
CHEMBL1162838	J. Med. Chem. (1980) 23:8	https://doi.org/10.1021/jm00182a010
