MS3_id	ipro_id	ipro_descr	uniqIpro
MS3_11610			0
MS3_11609			0
MS3_11608			0
MS3_11607			0
MS3_11606			0
MS3_11605			0
MS3_11601			0
MS3_11599			0
MS3_11596			0
MS3_11595			0
MS3_11593			0
MS3_11592			0
MS3_11591			0
MS3_11588			0
MS3_11587			0
MS3_11586			0
MS3_11585			0
MS3_11584			0
MS3_11581			0
MS3_11580			0
MS3_11579			0
MS3_11578			0
MS3_11577			0
MS3_11575			0
MS3_11574			0
MS3_11573			0
MS3_11572			0
MS3_11570	IPR021712	Uncharacterised domain UPF0506	0
MS3_11568			0
MS3_11566			0
MS3_11565			0
MS3_11564	IPR006984	rRNA-processing protein Fcf1/Utp23	0
MS3_11563			0
MS3_11562	IPR005552	Scramblase	0
MS3_11559	IPR028260	FAM177 family	1
MS3_11558	IPR015048	Domain of unknown function DUF1899	1
MS3_11557			0
MS3_11556			0
MS3_11555			0
MS3_11554	IPR001680	WD40 repeat	0
MS3_11553			0
MS3_11552	IPR001222	Zinc finger, TFIIS-type	0
MS3_11551	IPR000218	Ribosomal protein L14P	0
MS3_11550	IPR001660	Sterile alpha motif domain	0
MS3_11549	IPR029416	Protein of unknown function DUF4498	1
MS3_11548			0
MS3_11546			0
MS3_11544	IPR004045	Glutathione S-transferase, N-terminal	0
MS3_11543			0
MS3_11542			0
MS3_11541			0
MS3_11540			0
MS3_11537			0
MS3_11536			0
MS3_11535			0
MS3_11534	IPR006709	Small-subunit processome, Utp14	1
MS3_11533	IPR003213	Cytochrome c oxidase, subunit VIb	0
MS3_11532	IPR000198	Rho GTPase-activating protein domain	0
MS3_11531			0
MS3_11530	IPR032190	Niemann-Pick C1, N-terminal	0
MS3_11529			0
MS3_11528	IPR003439	ABC transporter-like	0
MS3_11527	IPR020058	Glutamyl/glutaminyl-tRNA synthetase, class Ib, catalytic domain	0
MS3_11526	IPR002836	PDCD5-related protein	1
MS3_11525			0
MS3_11524			0
MS3_11523			0
MS3_11522			0
MS3_11521	IPR000873	AMP-dependent synthetase/ligase	0
MS3_11520			0
MS3_11519			0
MS3_11518			0
MS3_11517			0
MS3_11516	IPR000980	SH2 domain	0
MS3_11516	IPR001452	SH3 domain	0
MS3_11515			0
MS3_11514			0
MS3_11513	IPR017978	GPCR family 3, C-terminal	0
MS3_11512			0
MS3_11511			0
MS3_11510			0
MS3_11509	IPR020783	Ribosomal protein L11, C-terminal	0
MS3_11509	IPR020784	Ribosomal protein L11, N-terminal	0
MS3_11508			0
MS3_11507			0
MS3_11506			0
MS3_11505	IPR011500	GPCR, family 3, nine cysteines domain	0
MS3_11505	IPR017978	GPCR family 3, C-terminal	0
MS3_11504	IPR008555	SIKE family	0
MS3_11503			0
MS3_11502			0
MS3_11501			0
MS3_11500			0
MS3_11499			0
MS3_11498			0
MS3_11497			0
MS3_11496	IPR001451	Hexapeptide repeat	0
MS3_11495			0
MS3_11494			0
MS3_11493			0
MS3_11492			0
MS3_11491			0
MS3_11490			0
MS3_11489			0
MS3_11488	IPR000313	PWWP domain	0
MS3_11487	IPR001547	Glycoside hydrolase, family 5	0
MS3_11486			0
MS3_11484			0
MS3_11482	IPR000547	Clathrin, heavy chain/VPS, 7-fold repeat	0
MS3_11481			0
MS3_11480			0
MS3_11479			0
MS3_11478	IPR007991	RNA polymerase I specific transcription initiation factor RRN3	1
MS3_11477	IPR000905	Gcp-like domain	0
MS3_11476			0
MS3_11475			0
MS3_11474			0
MS3_11473			0
MS3_11472	IPR022800	Spt4/RpoE2 zinc finger	0
MS3_11471			0
MS3_11470			0
MS3_11469	IPR019171	Caffeine-induced death protein 2	0
MS3_11468			0
MS3_11467			0
MS3_11466	IPR002347	Short-chain dehydrogenase/reductase SDR	0
MS3_11465			0
MS3_11464			0
MS3_11463			0
MS3_11459			0
MS3_11458			0
MS3_11457			0
MS3_11455	IPR001578	Peptidase C12, ubiquitin carboxyl-terminal hydrolase	0
MS3_11454	IPR006984	rRNA-processing protein Fcf1/Utp23	0
MS3_11453			0
MS3_11452			0
MS3_11451	IPR001594	Palmitoyltransferase, DHHC domain	0
MS3_11450	IPR000276	G protein-coupled receptor, rhodopsin-like	0
MS3_11449			0
MS3_11448			0
MS3_11447	IPR018614	Keratinocyte-associated protein 2	1
MS3_11446	IPR000327	POU-specific domain	0
MS3_11446	IPR001356	Homeobox domain	0
MS3_11445			0
MS3_11444			0
MS3_11443	IPR000897	Signal recognition particle, SRP54 subunit, GTPase domain	0
