MS3_id	uniprot_id	gene_name_species	sp_ident	sp_sim	sp_cov	sman_id	sman_ident	sman_simil	sman_cov	sjap_id	sjap_ident	sjap_simil	sjap_cov	opvi_id	opvi_ident	opvi_simil	opvi_cov	closi_id	closi_ident	closi_simil	closi_cov	fahe_id	fahe_ident	fahe_simil	fahe_cov	male_tpm	female_tpm	cel_id	cel_ident	cel_simil	cel_cov	dmel_id	dmel_ident	dmel_simil	dmel_cov	mus_id	mus_ident	mus_simil	mus_cov	hsa_id	hsa_ident	hsa_simil	hsa_lower_75_qtl	hsa_cov	cel_leth	dmel_leth	mus_leth	chokepoint
MS3_11610						Smp_174140.1	35.4	48.8	1																	0.00	0.00																					FALSE
MS3_11609						Smp_106750.1	46.2	55.8	1																	183.10	121.72																					FALSE
MS3_11608																										0.00	0.00																					FALSE
MS3_11607						Smp_012680.1	19.7	22.0	1	Sjp_0022580	14.7	15.7	1									D915_04414	19.0	25.7	1	2.43	1.13																					FALSE
MS3_11606						Smp_192610.1	15.6	17.0	0.56	Sjp_0087400	18.4	23.0	1													0.00	0.00																					FALSE
MS3_11605						Smp_184460.1	15.6	16.7	1	Sjp_0131430	22.6	25.8	1													0.00	0.00																					FALSE
MS3_11601						Smp_154010.1	5.0	5.0	1	Sjp_0128690	13.0	15.9	1													0.00	0.00																					FALSE
MS3_11599																										0.00	0.00																					FALSE
MS3_11596																										0.00	0.00																					FALSE
MS3_11595						Smp_168380.1	9.8	10.7	1	Sjp_0016040	3.1	4.5	1													0.00	0.00																					FALSE
MS3_11593						Smp_110400.3	32.3	36.9	1																	0.00	0.00																					FALSE
MS3_11592						Smp_183080.1	40.0	40.0	1																	0.00	0.00																					FALSE
MS3_11591						Smp_185750.1	22.9	26.9	1	Sjp_0079570	10.4	13.3	1													0.00	0.00																					FALSE
MS3_11588						Smp_182920.1	75.5	79.6	1																	0.00	0.00																					FALSE
MS3_11587						Smp_110280.1	13.2	13.2	1	Sjp_0047310	12.9	13.6	1													865.50	1043.39																					FALSE
MS3_11586						Smp_193580.1	37.0	38.8	1																	0.57	0.79																					FALSE
MS3_11585						Smp_196830.1	41.3	55.8	0.977528																	6.60	60.88																					FALSE
MS3_11584						Smp_161830.1	12.3	13.2	1																	0.00	0.00																					FALSE
MS3_11581						Smp_182410.1	86.8	90.6	1																	0.00	0.00																					FALSE
MS3_11580						Smp_173340.1	6.4	6.4	1	Sjp_0025730	14.1	14.9	1	T265_02648	6.1	7.9	1									0.00	0.00																					FALSE
MS3_11579						Smp_049400.1	84.4	86.7	1	Sjp_0098830	5.3	6.3	1	T265_06445	15.9	23.3	0.859504	csin107438	3.6	5.2	0.859504					4.10	0.00																					FALSE
MS3_11578																										0.00	0.00																					FALSE
MS3_11577						Smp_109340.1	20.6	23.9	0.979798	Sjp_0057380	12.6	17.3	0.989899													118.43	54.59																					FALSE
MS3_11575						Smp_166720.1	20.1	22.4	1	Sjp_0068500	10.4	17.5	0.96													0.00	0.00																					FALSE
MS3_11574						Smp_012790.1	52.0	58.8	1	Sjp_0057790	36.5	41.7	1													137.99	238.87																					FALSE
MS3_11573	Q8YRI1	YY46_NOSS1	1.9	2.5	1	Smp_152740.1	8.2	8.6	1	Sjp_0118420	7.1	7.8	1	T265_00719	4.1	5.6	1	csin111771	5.5	7.5	1					2.43	2.26													ENSP00000368025.3	0.7	1.5	TRUE	0.971831				FALSE
MS3_11572	Q3U481	MFS12_MOUSE	4.8	7.2	0.873016	Smp_134720.1	10.1	10.6	1	Sjp_0007720	7.9	9.2	1									D915_02814	4.7	6.4	0.873016	1.95	2.96									ENSMUSP00000036116.8	4.8	7.2	0.873016	ENSP00000347583.1	4.8	7.9	TRUE	1				FALSE
MS3_11570	Q5DFZ7	CP422_SCHJA	24.4	34.1	0.971429	Smp_182940.1	74.6	84.5	0.9	Sjp_0124970	35.1	47.9	0.971429	T265_07366	32.4	47.3	0.9	csin101970	26.0	35.4	0.871429					0.00	0.00																					FALSE
MS3_11568	Q92542	NICA_HUMAN	4.7	8.4	0.859259	Smp_167240.1	14.6	15.3	1	Sjp_0060820	12.7	14.9	0.881481	T265_07458	5.5	8.9	0.881481					D915_13206	13.3	20.5	0.881481	10.54	6.17									ENSMUSP00000003550.4	4.5	8.4	0.859259	ENSP00000390409.1	12.4	22.3	TRUE	0.859259			ENSMUSP00000003550.4	FALSE
MS3_11566						Smp_187950.1	55.4	62.5	1																	0.00	0.00																					FALSE
MS3_11565						Smp_086630.1	30.6	37.1	1																	0.00	0.00																					FALSE
MS3_11564	Q08DU1	UTP23_BOVIN	16.0	28.4	0.986014	Smp_012540.1	51.5	52.7	1									csin112183	26.2	34.3	0.965035	D915_10396	28.6	35.7	0.979021	96.37	59.25	C34E10.10	17.6	29.8	0.909091	FBpp0077570	18.4	29.1	0.881119	ENSMUSP00000119261.2	15.5	27.5	0.986014	ENSP00000308332.2	15.5	28.3	TRUE	0.986014				FALSE
MS3_11563	Q99PK0	SYF1_RAT	6.8	9.6	0.982906	Smp_166240.1	18.2	18.2	1	Sjp_0071210	12.3	12.8	1	T265_12991	7.8	9.0	1	csin108448	12.2	14.1	1	D915_04684	29.8	34.0	1	0.00	0.00	C50F2.3	6.5	9.3	0.982906	FBpp0086749	7.0	9.7	0.982906	ENSMUSP00000019614.6	6.8	9.6	0.982906	ENSP00000351137.3	6.8	9.6	TRUE	0.982906	C50F2.3	FBpp0086749	ENSMUSP00000019614.6	FALSE
MS3_11562	Q3ZBG9	PLS2_BOVIN	8.5	12.9	0.969231	Smp_008860.1	35.1	36.3	1	Sjp_0124540	33.3	38.9	1	T265_00773	15.3	19.5	1	csin108489	14.2	19.2	1	D915_07657	7.0	11.2	1	11.93	15.40					FBpp0076030	6.2	9.6	0.969231	ENSMUSP00000034932.7	7.8	12.3	0.969231	ENSP00000316021.11	8.4	12.8	TRUE	0.969231				FALSE
MS3_11559						Smp_073140.2	68.5	68.5	1	Sjp_0027840	32.7	41.8	0.988764									D915_15068	20.4	25.9	0.764045	8.99	11.68																					FALSE
MS3_11558	O89046	COR1B_RAT	8.1	11.4	1	Smp_012720.1	11.7	11.9	1	Sjp_0022510	17.3	17.6	1	T265_11635	11.6	12.4	1	csin101250	10.4	11.4	0.984615	D915_04568	30.0	33.3	0.984615	58.71	39.77	R01H10.3c	5.6	7.6	0.984615	FBpp0085526	7.8	10.2	1	ENSMUSP00000008893.8	8.1	11.4	1	ENSP00000340211.5	8.2	11.2	TRUE	1		FBpp0085526		FALSE
