MS3_id	ipro_id	ipro_descr
MS3_00002	IPR006677	tRNA intron endonuclease, catalytic domain-like
MS3_00003	IPR001650	Helicase, C-terminal
MS3_00003	IPR011545	DEAD/DEAH box helicase domain
MS3_00004	IPR000322	Glycoside hydrolase family 31
MS3_00004	IPR000519	P-type trefoil domain
MS3_00004	IPR031727	Galactose mutarotase, N-terminal barrel
MS3_00005	IPR021917	Uncharacterised protein family, zinc metallopeptidase-like
MS3_00006	IPR005037	Pre-mRNA-splicing factor 38
MS3_00007	IPR001650	Helicase, C-terminal
MS3_00007	IPR011545	DEAD/DEAH box helicase domain
MS3_00007	IPR012541	DBP10, C-terminal
MS3_00009	IPR005821	Ion transport domain
MS3_00011	IPR006597	Sel1-like repeat
MS3_00012	IPR007245	GPI transamidase component PIG-T
MS3_00013	IPR028131	Vasohibin
MS3_00014	IPR018997	PUB domain
MS3_00015	IPR001715	Calponin homology domain
MS3_00015	IPR023562	Clp protease proteolytic subunit /Translocation-enhancing protein TepA
MS3_00017	IPR022764	Peptidase S54, rhomboid domain
MS3_00018	IPR025258	Putative zinc-RING and/or ribbon
MS3_00019	IPR001943	UVR domain
MS3_00022	IPR004299	Membrane bound O-acyl transferase, MBOAT
MS3_00023	IPR001799	Ephrin receptor-binding domain
MS3_00024	IPR005821	Ion transport domain
MS3_00029	IPR001680	WD40 repeat
MS3_00029	IPR013258	Striatin, N-terminal
MS3_00030	IPR000421	Coagulation factor 5/8 C-terminal domain
MS3_00032	IPR019168	Nuclear envelope phosphatase-regulatory subunit 1
MS3_00034	IPR022775	AP complex, mu/sigma subunit
MS3_00036	IPR005821	Ion transport domain
MS3_00036	IPR014873	Voltage-dependent calcium channel, alpha-1 subunit, IQ domain
MS3_00036	IPR031649	Voltage-dependent L-type calcium channel, IQ-associated domain
MS3_00037	IPR001278	Arginine-tRNA ligase
MS3_00037	IPR005148	Arginyl tRNA synthetase N-terminal domain
MS3_00037	IPR008909	DALR anticodon binding
MS3_00042	IPR001611	Leucine-rich repeat
MS3_00043	IPR022764	Peptidase S54, rhomboid domain
MS3_00044	IPR000519	P-type trefoil domain
MS3_00044	IPR031727	Galactose mutarotase, N-terminal barrel
MS3_00046	IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit
MS3_00047	IPR023410	14-3-3 domain
MS3_00048	IPR003388	Reticulon
MS3_00049	IPR019465	Conserved oligomeric Golgi complex subunit 5
MS3_00050	IPR005821	Ion transport domain
MS3_00050	IPR014873	Voltage-dependent calcium channel, alpha-1 subunit, IQ domain
MS3_00050	IPR031649	Voltage-dependent L-type calcium channel, IQ-associated domain
MS3_00051	IPR000591	DEP domain
MS3_00051	IPR001158	DIX domain
MS3_00051	IPR001478	PDZ domain
MS3_00051	IPR003351	Dishevelled protein domain
MS3_00052	IPR019410	Lysine methyltransferase
MS3_00054	IPR013099	Potassium channel domain
MS3_00055	IPR005821	Ion transport domain
MS3_00055	IPR014873	Voltage-dependent calcium channel, alpha-1 subunit, IQ domain
MS3_00055	IPR031649	Voltage-dependent L-type calcium channel, IQ-associated domain
MS3_00057	IPR000595	Cyclic nucleotide-binding domain
MS3_00057	IPR005821	Ion transport domain
