MS3_id	male_tpm	chokepoint	mus_leth	dmel_leth	cel_leth	hsa_lower_75_qtl	sp_cov	sman_cov	sjap_cov	opvi_cov	closi_cov	fahe_cov	cel_cov	dmel_cov	mus_cov	sp_simil	sman_simil	sjap_simil	opvi_simil	closi_simil	fahe_simil	cel_simil	dmel_simil	mus_simil	ChCmpdOne	ChCmpdMore	DBCmpdOne	DBCmpdMore	uniqIpro
MS3_11610	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	48.8	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11609	1	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	55.8	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11608	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11607	1	0	0	0	0	1	NA	1	1	NA	NA	1	NA	NA	NA	NA	22	15.7	NA	NA	25.7	NA	NA	NA	0	0	0	0	0
MS3_11606	0	0	0	0	0	1	NA	0.56	1	NA	NA	NA	NA	NA	NA	NA	17	23	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11605	0	0	0	0	0	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	16.7	25.8	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11601	0	0	0	0	0	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	5	15.9	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11599	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11596	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11595	0	0	0	0	0	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	10.7	4.5	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11593	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	36.9	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11592	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11591	0	0	0	0	0	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	26.9	13.3	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11588	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	79.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11587	1	0	0	0	0	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	13.2	13.6	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11586	1	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	38.8	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11585	1	0	0	0	0	1	NA	0.977528	NA	NA	NA	NA	NA	NA	NA	NA	55.8	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11584	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	13.2	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11581	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	90.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11580	0	0	0	0	0	1	NA	1	1	1	NA	NA	NA	NA	NA	NA	6.4	14.9	7.9	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11579	1	0	0	0	0	1	NA	1	1	0.859504	0.859504	NA	NA	NA	NA	NA	86.7	6.3	23.3	5.2	NA	NA	NA	NA	0	0	0	0	0
MS3_11578	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11577	1	0	0	0	0	1	NA	0.979798	0.989899	NA	NA	NA	NA	NA	NA	NA	23.9	17.3	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11575	0	0	0	0	0	1	NA	1	0.96	NA	NA	NA	NA	NA	NA	NA	22.4	17.5	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11574	1	0	0	0	0	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	58.8	41.7	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11573	1	0	0	0	0	1	1	1	1	1	1	NA	NA	NA	NA	2.5	8.6	7.8	5.6	7.5	NA	NA	NA	NA	0	0	0	0	0
MS3_11572	1	0	0	0	0	1	0.873016	1	1	NA	NA	0.873016	NA	NA	0.873016	7.2	10.6	9.2	NA	NA	6.4	NA	NA	7.2	0	0	0	0	0
MS3_11570	0	0	0	0	0	1	0.971429	0.9	0.971429	0.9	0.871429	NA	NA	NA	NA	34.1	84.5	47.9	47.3	35.4	NA	NA	NA	NA	0	0	0	0	0
